COVID-19 Vaccinations in the United States
Date generated: Fri Sep 24 2021 17:36:45 GMT-0700 (Pacific Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,5362890,N/A,N/A,5565532,N/A,5278810,N/A,3087748,N/A,2928731,N/A,2315094,N/A,2194268,N/A,3277350,1889140,196400,0,241214,2030319,3287576,6423,805172,1296347,213557,18,805035,1175831,213384,18,2101825,N/A,2928731,N/A,0,1981170,0,3087748,206988,0,151377,0,53585,90681,7111,0,397161,0,0,3087570,0,2315028,0,805157,1296317,213536,18,5565297,0,0
Delaware,1555525,159744,201966,1192360,122449,1114365,144687,641885,65.9,602004,78.2,557757,57.3,524621,68.1,874005,615720,65800,0,50491,461435,679251,1183,205345,302090,49885,437,205231,269113,49843,434,508105,65.9,602004,78.2,52.2,475010,61.7,641885,183589,97.2,164410,87,67636,87313,9221,240,353250,186998,823439,641714,76.4,557714,66.4,205341,302060,49876,437,1192155,141956,185224
Florida,32434405,151014,188049,26438965,123099,24984697,144857,14280836,66.5,13476158,78.1,12154279,56.6,11528447,66.8,17943225,12739780,1751400,0,1198027,9995955,15154491,90492,4348831,6597376,1180800,27272,4347294,5974735,1179313,27105,10981510,66.5,13476158,78.1,51.1,10357124,60,14280836,4314339,95.9,3776731,84,1838127,1724945,196889,16770,8637930,192068,721191,14272815,76.3,12152580,65,4348152,6597143,1180016,27269,26430042,141367,173483
Federated States of Micronesia,84600,81626,104799,71686,69166,70543,87386,44233,42.7,43556,54,37951,36.6,37458,46.4,1800,72600,10200,0,11533,59001,1152,0,26361,594,10995,1,26356,129,10972,1,26997,42.7,43556,54,26,26527,32.9,44233,3470,19.8,3144,17.9,2109,7,1028,0,5644,32139,481749,44219,50,37942,42.9,26360,594,10987,1,71671,80976,95583
Georgia,14355455,135207,176932,10557742,99438,9907986,122117,5789931,54.5,5408455,66.7,4765575,44.9,4496024,55.4,7784595,5955960,614900,0,272424,4266527,6010995,7796,1878227,2614040,270764,2544,1877476,2345808,270353,2387,4498050,54.5,5408455,66.7,42.4,4228859,52.1,5789931,1319828,87,1151907,75.9,632919,485701,32091,1196,2599533,171365,946334,5787691,64.4,4765063,53,1878175,2613685,270663,2540,10555136,117435,159716
Guam,236830,142868,183427,231167,139452,207876,161002,126075,76.1,113212,87.7,111216,67.1,100845,78.1,143130,74200,19500,0,9461,76793,144881,32,35609,66606,9001,0,35595,56255,8995,0,102235,76.1,113212,87.7,61.7,91870,71.2,126075,16113,57.4,15029,53.5,6226,8297,506,0,31050,110549,843201,126048,89,111207,78.6,35608,66599,9000,0,231132,163273,167298
Hawaii,2294960,162088,205641,1855697,131064,1737101,155654,1081123,76.4,1006597,90.2,812353,57.4,766384,68.7,1311000,889860,94100,0,48008,616377,1097363,93949,267730,477832,48702,18089,267129,432642,48541,18072,763767,76.4,1006597,90.2,53.9,717957,64.3,1081123,276538,99.9,231362,86.2,95841,124445,9662,1414,505467,188292,854899,1077302,89,810837,66.9,267680,476413,48666,18078,1851093,152843,189492
Iowa,4148905,131500,170861,3420838,108424,3207430,132089,1823525,57.8,1709828,70.4,1691927,53.6,1594023,65.6,2277465,1671540,199900,0,144439,1377124,1898939,336,660939,888560,142190,238,660755,790915,142116,237,1550255,57.8,1709828,70.4,49.1,1452420,59.8,1823525,505647,91.4,488340,88.3,257180,217779,13273,108,998126,180508,750316,1823437,68.1,1691900,63.2,660932,888542,142188,238,3420785,127819,155025
Idaho,2178500,121904,162713,1542238,86300,1541100,115105,832110,46.6,829885,62,735904,41.2,734506,54.9,1191240,878260,109000,0,64598,635613,840050,1977,288811,382299,64291,503,288790,380946,64269,501,672016,46.6,829885,62,37.6,670640,50.1,832110,249100,85.7,233441,80.3,107555,114776,10900,210,487931,167864,749475,0,0,0,0,0,0,0,0,0,0,0
Indian Health Svc,2081275,99926,N/A,1627848,78156,1490749,N/A,898819,43.2,822242,N/A,744239,35.7,683881,N/A,986655,1011620,83000,0,31764,818355,777729,0,362796,349811,31632,0,362499,289806,31576,0,712720,43.2,822242,N/A,34.2,652413,0,898819,155089,0,130362,0,73784,53496,3082,0,288899,0,0,898403,0,744058,0,362721,349726,31611,0,1627236,0,0
Illinois,17751725,140088,180148,15168007,119699,14035875,142439,8615919,68,7961481,80.8,6724257,53.1,6255487,63.5,10101225,6778800,871700,0,547328,5554189,9047479,19011,2373026,3809628,535463,6140,2366520,3349900,533014,6053,6191242,68,7961481,80.8,48.9,5724902,58.1,8615919,1936332,94.8,1591450,77.9,721120,793218,74241,2871,3568645,174657,868806,8589951,79.3,6709684,61.9,2372982,3795128,535434,6140,15126679,139573,163794
Indiana,8224410,122165,159257,6669608,99070,6273391,121477,3492827,51.9,3282123,63.6,3235240,48.1,3056232,59.2,4616610,3167700,440100,0,252842,2487800,3904947,24019,1165384,1814103,248542,7211,1165107,1635672,248313,7140,2988778,51.9,3282123,63.6,44.4,2809968,54.4,3492827,936421,86.2,908003,83.6,446494,429340,28605,3564,1900702,175060,757491,3492449,61.2,3235093,56.7,1165369,1813991,248522,7211,6669151,116899,144160
Kansas,3850775,132179,174002,3050285,104702,2845213,128564,1730122,59.4,1612663,72.9,1474781,50.6,1381508,62.4,2084235,1581040,185500,0,106144,1221600,1721499,1042,567971,801954,104468,388,567664,709122,104370,352,1370886,59.4,1612663,72.9,47.1,1277706,57.7,1730122,462124,97.2,399807,84.1,191797,190904,16925,181,841764,177032,809859,1729986,70.6,1474757,60.2,567964,801944,104461,388,3050145,124410,157066
Kentucky,5681905,127178,163989,4852583,108615,4565099,131756,2685634,60.1,2524112,72.9,2304580,51.6,2178869,62.9,2933325,2466980,281600,0,198711,2038482,2614462,928,924200,1183342,195858,1180,923983,1058002,195738,1146,2109588,60.1,2524112,72.9,47.2,1983995,57.3,2685634,691398,92.1,624539,83.2,285068,300968,37889,614,1294812,172512,757018,2685225,70.5,2304510,60.5,924188,1183314,195830,1178,4851438,127463,149282
Louisiana,5757420,123848,161672,4460106,95941,4223957,118612,2388794,51.4,2255153,63.3,2086885,44.9,1985635,55.8,3021540,2492380,243500,0,156788,1885275,2416307,1736,853485,1083321,149353,726,853040,982674,149202,719,1938295,51.4,2255153,63.3,41.7,1837192,51.6,2388794,640260,86.4,607812,82,288957,297652,21051,152,1278357,172513,776957,2388523,60.9,2086781,53.2,853465,1083258,149332,726,4459758,113673,146749
Massachusetts,10890360,158003,196587,9719832,141020,9011570,162672,5308536,77,4922141,88.9,4656789,67.6,4332515,78.2,6056940,4383720,449700,0,333295,3779479,5606766,292,1732778,2588960,334933,118,1727481,2271213,333720,101,4323614,77,4922141,88.9,62.7,4000542,72.2,5308536,1163956,99.5,1036103,88.6,469959,497519,68587,38,2163598,185029,931332,5291700,87.9,4645260,77.2,1732770,2577446,334926,118,9691209,161071,181001
Maryland,9904940,163835,210252,7890073,130508,7284369,154625,4246224,70.2,3922157,83.3,3851297,63.7,3573303,75.9,5686380,3777860,440700,0,295957,2939513,4643860,10743,1377479,2180537,290323,2958,1377047,1903285,290123,2848,3564641,70.2,3922157,83.3,59,3286813,69.8,4246224,919387,95.8,865667,90.2,410561,401851,52453,802,1768211,184305,1032410,4245623,82.2,3851092,74.6,1377442,2180403,290291,2956,7889512,152812,191849
Maine,2124010,158012,193908,1804866,134269,1695102,154752,990123,73.7,932486,85.1,914622,68,863788,78.9,1107270,900340,116400,0,116703,736986,950250,927,349116,450060,115213,233,349059,399374,115144,211,799868,73.7,932486,85.1,59.5,749096,68.4,990123,280347,98.3,265846,93.2,121406,121544,22798,98,532174,186554,744574,990014,83.5,914587,77.2,349110,450051,115193,233,1804746,152307,179251
Marshall Islands,53640,91829,117898,40209,68836,40100,88138,22557,38.6,22474,49.4,19622,33.6,19583,43,2340,40500,10800,0,2064,38145,0,0,17554,12,2056,0,17525,10,2048,0,17573,38.6,22474,49.4,30.1,17542,38.6,22557,1291,13,1108,11.2,1012,0,96,0,2307,23310,541982,22535,45.2,19612,39.3,17546,12,2054,0,40179,80545,107529
Michigan,13463880,134816,171669,10518163,105320,9906020,126305,5661187,56.7,5334702,68,5193535,52,4910320,62.6,7189140,5603540,671200,0,367469,4160824,5988273,1597,1985054,2833844,373779,858,1984431,2551580,373506,803,4821205,56.7,5334702,68,48.3,4538232,57.9,5661187,1556006,88.1,1476597,83.6,737617,671875,66599,506,2992318,169498,762653,5660762,65.9,5193419,60.4,1985033,2833767,373762,857,10517679,122370,156648
Minnesota,7698560,136508,177530,6596235,116962,6106468,140816,3566615,63.2,3310438,76.3,3260232,57.8,3028686,69.8,4348680,2981280,368600,0,293638,2475903,3824708,1986,1162744,1802634,294185,669,1160654,1573726,293658,648,2967353,63.2,3310438,76.3,52.6,2736323,63.1,3566615,871618,94.7,821704,89.3,345892,427590,48067,155,1670473,181498,836453,3555458,74.4,3252151,68.1,1162732,1794586,294164,669,6576733,137644,161122
Missouri,7776635,126708,163140,6212912,101230,5843595,122588,3340550,54.4,3140381,65.9,2906774,47.4,2745036,57.6,4381875,3081460,313300,0,204153,2268078,3739777,904,1036479,1664419,205644,232,1036139,1503276,205424,197,2702398,54.4,3140381,65.9,44,2540860,53.3,3340550,911147,85.8,829832,78.1,379209,413493,37052,78,1766597,166340,732238,3340160,63.8,2906710,55.5,1036468,1664385,205625,232,6212510,118656,148531
Northern Mariana Islands,86200,151542,194565,69590,122341,61101,137913,35636,62.6,31229,70.5,33926,59.6,29840,67.4,63300,20200,2700,0,773,9562,59255,0,4526,28624,776,0,4525,24539,776,0,33152,62.6,31229,70.5,58.3,29066,65.6,35636,2919,30.3,2866,29.7,465,2312,89,0,5933,61558,894376,35636,73.4,33926,69.8,4526,28624,776,0,69590,143260,177454
Mississippi,3776065,126878,165794,2746662,92289,2587322,113600,1481804,49.8,1390876,61.1,1277233,42.9,1208153,53,2023305,1581460,171300,0,72553,1136571,1536016,1522,514128,690753,72035,317,513868,622023,71956,306,1205845,49.8,1390876,61.1,40.5,1136840,49.9,1481804,408818,84,378801,77.8,194272,167853,16525,151,798325,164031,775862,1481586,58.8,1277163,50.7,514118,690703,72025,317,2746398,108922,149759
Montana,1318365,123353,156913,1076381,100711,1017037,121048,581355,54.4,548743,65.3,514552,48.1,488535,58.1,677205,566060,75100,0,46505,463567,565420,889,212996,255973,45320,263,212898,230099,45278,260,469621,54.4,548743,65.3,43.9,443640,52.8,581355,178630,86.5,166077,80.4,79876,76968,9087,146,343726,166504,638628,581215,63.3,514510,56.1,212978,255954,45315,263,1076191,117283,143676
North Carolina,14235930,135734,173877,11117193,105998,10405093,127087,6166288,58.8,5769908,70.5,5155506,49.2,4847240,59.2,7868670,5690260,677000,0,414167,4208274,6494249,503,1872708,2875805,406905,88,1869849,2571776,405529,86,4749241,58.8,5769908,70.5,45.3,4442345,54.3,6166288,1568736,89.6,1394877,79.7,669531,679051,46252,43,3000266,171337,812973,6157459,68.5,5150186,57.3,1872615,2870600,406883,88,11103023,123566,158432
North Dakota,913920,119927,157060,733476,96249,693951,119258,385572,50.6,364983,62.7,332681,43.7,316388,54.4,512040,363480,38400,0,32390,294850,406016,220,130943,172335,29401,2,130748,156367,29271,2,303334,50.6,364983,62.7,39.8,287170,49.4,385572,103418,86.3,91851,76.6,45120,42899,3832,0,202123,168654,762585,384955,60.4,332334,52.2,130938,171996,29398,2,732432,114937,143417
Nebraska,2512190,129869,172264,2147734,111028,1997263,136955,1142958,59.1,1062706,72.9,1049418,54.3,979725,67.2,1433310,965480,113400,0,78326,809573,1255342,4493,381892,587976,78324,1226,381746,518548,78251,1180,971646,59.1,1062706,72.9,50.2,902022,61.9,1142958,285296,91.3,274164,87.7,133693,133289,6405,777,575042,184038,804009,1142683,70.6,1049333,64.9,381872,587931,78306,1224,2147374,132766,155322
New Hampshire,2132970,156869,193124,1735542,127641,1620289,146704,938383,69,880876,79.8,832891,61.3,785731,71.1,1171890,840280,120800,0,79531,687733,968242,36,322673,441963,68207,48,322423,395110,68153,45,764851,69,880876,79.8,56.3,717744,65,938383,248307,97.8,223938,88.2,94276,115418,14222,22,452252,178147,840202,937828,78.2,832682,69.5,322571,441881,68182,48,1734800,144739,177960
New Jersey,13902225,156518,200216,11420602,128579,10586144,152459,6398963,72,5941231,85.6,5674502,63.9,5289294,76.2,7814925,5458100,629200,0,437371,4421986,6561186,59,2090285,3139969,444096,152,2089727,2755605,443823,139,5231839,72,5941231,85.6,58.9,4846894,69.8,6398963,1390539,94.2,1271593,86.2,594279,592286,84985,43,2573800,174432,942182,6398169,84,5674316,74.5,2090252,3139874,444038,152,11419773,149898,182483
New Mexico,2914545,138998,179800,2754870,131383,2546150,157074,1511636,72.1,1393602,86,1313066,62.6,1214936,75,1536105,1237140,141300,0,98024,1165253,1485755,5838,524801,689979,96651,1635,524415,592400,96504,1617,1217061,72.1,1393602,86,58,1119069,69,1511636,371361,98.3,336729,89.2,156076,160162,19619,872,699833,185334,771848,1511335,84.6,1312982,73.5,524783,689925,96639,1635,2754533,154106,163058
Nevada,3963740,128686,166019,3359425,109067,3148018,131853,1857191,60.3,1737050,72.8,1549384,50.3,1461502,61.2,2308140,1463500,192100,0,149981,1209014,2000329,101,547728,854103,147521,32,547630,766362,147479,31,1402159,60.3,1737050,72.8,45.5,1314318,55,1857191,432001,87.1,383317,77.3,179720,179823,23755,19,820185,165369,799186,1857092,70.8,1549345,59.1,547724,854072,147517,32,3359371,128132,151184
New York State,29239185,150302,189554,25596422,131577,23976078,155434,13729389,70.6,12848737,83.3,12277053,63.1,11535465,74.8,16589385,11314800,1335000,0,1112270,9627988,14847152,9012,4456592,6760261,1057902,2298,4454802,6021302,1057181,2180,11222645,70.6,12848737,83.3,57.7,10481749,68,13729389,3000572,91,2760256,83.7,1311200,1277268,170800,988,5753386,174549,887072,13727664,81.8,12276316,73.2,4456424,6759838,1057770,2284,25594019,152589,174321
Ohio,14827185,126846,162738,11957492,102296,11279268,123797,6299118,53.9,5938228,65.2,5827327,49.9,5516589,60.5,8055105,6076480,695600,0,495231,4681854,6764975,15432,2188006,3154025,480925,4371,2187539,2844032,480727,4291,5349174,53.9,5938228,65.2,45.8,5038619,55.3,6299118,1772152,86.6,1698067,83,771026,839022,85819,2200,3493176,170705,724578,6298898,63,5827240,58.3,2188000,3153953,480916,4371,11957258,119564,148261
Oklahoma,4962170,125403,165145,4088807,103332,3836322,127676,2218363,56.1,2077493,69.1,1859672,47,1750485,58.3,2569650,2154220,238300,0,119943,1709368,2259181,315,751318,989954,118300,100,751083,881094,118218,90,1741929,56.1,2077493,69.1,44,1632822,54.3,2218363,576166,90.7,505661,79.6,258584,228109,18942,26,1101788,173474,781282,2218134,66.7,1859607,55.9,751302,989919,118286,100,4088541,122955,149228
Oregon,6675905,158282,199211,5181250,122844,4835399,144290,2791779,66.2,2606137,77.8,2541271,60.3,2382329,71.1,3634905,2700700,340300,0,217650,1962490,2997399,3711,921378,1405396,213653,844,918576,1250103,212856,794,2328929,66.2,2606137,77.8,55.2,2170775,64.8,2791779,694093,90.6,658345,85.9,298137,310387,49449,372,1322600,172645,871437,2783716,76.3,2535538,69.5,921374,1399674,213650,840,5167227,141654,183013
Pennsylvania,19128845,149421,188139,16038687,125283,15076343,148282,9194768,71.8,8647134,85,7350438,57.4,6944874,68.3,10066185,7947360,1115300,0,644364,6414024,8979455,844,2795757,3907985,646221,475,2793459,3505204,645770,441,6705744,71.8,8647134,85,52.4,6300608,62,9194768,2593968,99.9,2094953,87.5,987786,1021071,85871,225,4677013,195416,799246,9191146,82.9,7348839,66.3,2795615,3906591,646158,475,16033518,144687,172619
Puerto Rico,4944350,154816,188646,4633873,145094,4265851,162759,2517384,78.8,2317607,88.4,2224359,69.6,2054034,78.4,2737410,2015340,191600,0,131623,1867390,2634464,396,862300,1231127,130881,51,861910,1061359,130716,49,2093734,78.8,2317607,88.4,65.6,1923573,73.4,2517384,607550,99.9,545545,99.9,270471,252626,22439,9,1140651,210092,910682,2516136,88.3,2223983,78.1,862240,1230860,130832,51,4632296,162634,173590
Rhode Island,1694595,159964,198229,1446180,136514,1349465,157857,791546,74.7,738282,86.4,716839,67.7,670998,78.5,941175,686820,66600,0,52512,551389,841542,737,261837,402205,52631,166,261755,356469,52610,164,664534,74.7,738282,86.4,62.7,618714,72.4,791546,186620,99.8,176210,94.2,79978,89970,6206,56,361941,193504,905978,791416,85.3,716793,77.3,261832,402166,52630,165,1446065,155911,182707
Republic of Palau,33090,184788,237255,30743,171681,28199,202187,17630,98.5,16309,99.9,15295,85.4,14067,99.9,6390,22900,3800,0,2333,24240,4170,0,11454,1503,2338,0,11454,275,2338,0,12958,98.5,16309,99.9,72.4,11730,84.1,17630,1783,58.8,1700,56,1459,14,227,0,3522,116084,1090640,17630,99.9,15295,100,11454,1503,2338,0,30743,201040,216388
South Carolina,6758475,131265,167391,5174649,100504,4892626,121179,2815786,54.7,2655001,65.8,2396331,46.5,2273141,56.3,3526095,2908080,324300,0,179314,2032980,2961109,1246,896269,1323531,176257,274,894322,1202873,175674,272,2220913,54.7,2655001,65.8,43.1,2098304,52,2815786,845145,90.2,753142,80.4,321927,402577,28465,173,1620647,172957,721271,2810843,63.6,2393474,54.2,896183,1320804,176213,274,5166770,116896,152908
South Dakota,1160085,131134,173780,944264,106738,884215,132455,518621,58.6,484065,72.5,453251,51.2,428193,64.1,598365,499220,62500,0,32283,386554,525346,81,182202,238724,32305,20,182144,213749,32280,20,421027,58.6,484065,72.5,47.6,395993,59.3,518621,144279,95,134094,88.3,68657,61071,4353,13,272819,179639,763862,518569,70.3,453237,61.4,182200,238714,32303,20,944213,127925,157172
Tennessee,8490700,124330,159626,6769796,99131,6430096,120886,3571349,52.3,3381337,63.6,3061059,44.8,2917836,54.9,4729140,3371860,389700,0,207003,2618743,3915486,28564,1141227,1712594,199770,7468,1140775,1570144,199515,7402,2863356,52.3,3381337,63.6,41.9,2720359,51.1,3571349,974175,85.2,887107,77.6,441946,408319,32718,4124,1971800,172452,742588,3570633,61.2,3060887,52.5,1141209,1712483,199727,7468,6768949,115995,145499
Texas,41426665,142871,191825,32077656,110628,29478096,136497,17261523,59.5,15804651,73.2,14716933,50.8,13501094,62.5,23312625,16123440,1990600,0,1234883,12278052,18563432,1289,5437499,8079531,1199101,802,4988280,7412041,1100037,736,13525149,59.5,15804651,73.2,46.6,12486418,57.8,17261523,3322844,89,2984595,79.9,1102725,1638529,243178,163,6528569,174830,1109380,17256345,71.6,14713990,61.1,5436412,8077915,1198861,802,32071342,133070,171887
